     x        u       v
     0.51500000     0.48355646     0.47922398
     0.51600000     0.48260528     0.47828173
     0.51700000     0.48165352     0.47733890
     0.51800000     0.48070120     0.47639551
     0.51900000     0.47974831     0.47545156
     0.52000000     0.47879486     0.47450704
     0.52100000     0.47784087     0.47356198
     0.52200000     0.47688632     0.47261637
     0.52300000     0.47593124     0.47167022
     0.52400000     0.47497562     0.47072353
     0.52500000     0.47401947     0.46977632
     0.52600000     0.47306280     0.46882858
     0.52700000     0.47210560     0.46788032
     0.52800000     0.47114789     0.46693154
     0.52900000     0.47018968     0.46598226
     0.53000000     0.46923095     0.46503247
     0.53100000     0.46827173     0.46408218
     0.53200000     0.46731202     0.46313140
     0.53300000     0.46635182     0.46218013
     0.53400000     0.46539113     0.46122837
     0.53500000     0.46442996     0.46027614
     0.53600000     0.46346832     0.45932343
     0.53700000     0.46250620     0.45837025
     0.53800000     0.46154362     0.45741660
     0.53900000     0.46058058     0.45646250
     0.54000000     0.45961709     0.45550794
     0.54100000     0.45865314     0.45455292
     0.54200000     0.45768875     0.45359746
     0.54300000     0.45672391     0.45264156
     0.54400000     0.45575864     0.45168521
     0.54500000     0.45479293     0.45072844
     0.54600000     0.45382679     0.44977123
     0.54700000     0.45286022     0.44881360
     0.54800000     0.45189324     0.44785555
     0.54900000     0.45092584     0.44689708
     0.55000000     0.44995802     0.44593820
     0.55100000     0.44898980     0.44497891
     0.55200000     0.44802117     0.44401921
     0.55300000     0.44705214     0.44305912
     0.55400000     0.44608271     0.44209862
     0.55500000     0.44511290     0.44113774
     0.55600000     0.44414269     0.44017647
     0.55700000     0.44317210     0.43921481
     0.55800000     0.44220112     0.43825277
     0.55900000     0.44122977     0.43729035
     0.56000000     0.44025805     0.43632756
     0.56100000     0.43928596     0.43536440
     0.56200000     0.43831350     0.43440087
     0.56300000     0.43734068     0.43343698
     0.56400000     0.43636749     0.43247274
     0.56500000     0.43539396     0.43150813
     0.56600000     0.43442007     0.43054318
     0.56700000     0.43344583     0.42957788
     0.56800000     0.43247125     0.42861223
     0.56900000     0.43149633     0.42764624
     0.57000000     0.43052107     0.42667991
     0.57100000     0.42954548     0.42571325
     0.57200000     0.42856955     0.42474626
     0.57300000     0.42759330     0.42377894
     0.57400000     0.42661672     0.42281129
     0.57500000     0.42563982     0.42184332
     0.57600000     0.42466260     0.42087504
     0.57700000     0.42368506     0.41990644
     0.57800000     0.42270722     0.41893753
     0.57900000     0.42172906     0.41796830
     0.58000000     0.42075060     0.41699878
     0.58100000     0.41977184     0.41602895
     0.58200000     0.41879278     0.41505882
     0.58300000     0.41781342     0.41408839
     0.58400000     0.41683377     0.41311767
     0.58500000     0.41585382     0.41214666
     0.58600000     0.41487359     0.41117536
     0.58700000     0.41389307     0.41020378
     0.58800000     0.41291227     0.40923191
     0.58900000     0.41193119     0.40825976
     0.59000000     0.41094984     0.40728734
     0.59100000     0.40996821     0.40631464
     0.59200000     0.40898631     0.40534168
     0.59300000     0.40800414     0.40436844
     0.59400000     0.40702170     0.40339494
     0.59500000     0.40603900     0.40242117
     0.59600000     0.40505604     0.40144715
     0.59700000     0.40407283     0.40047286
     0.59800000     0.40308935     0.39949832
     0.59900000     0.40210563     0.39852353
     0.60000000     0.40112165     0.39754849
     0.60100000     0.40013743     0.39657320
     0.60200000     0.39915296     0.39559766
     0.60300000     0.39816825     0.39462188
     0.60400000     0.39718330     0.39364586
     0.60500000     0.39619811     0.39266960
     0.60600000     0.39521268     0.39169311
     0.60700000     0.39422702     0.39071638
     0.60800000     0.39324113     0.38973943
     0.60900000     0.39225501     0.38876224
     0.61000000     0.39126866     0.38778483
     0.61100000     0.39028209     0.38680719
     0.61200000     0.38929530     0.38582933
     0.61300000     0.38830828     0.38485125
     0.61400000     0.38732105     0.38387295
     0.61500000     0.38633361     0.38289444
     0.61600000     0.38534595     0.38191571
     0.61700000     0.38435808     0.38093678
     0.61800000     0.38337000     0.37995763
     0.61900000     0.38238171     0.37897828
     0.62000000     0.38139322     0.37799872
     0.62100000     0.38040453     0.37701896
     0.62200000     0.37941563     0.37603899
     0.62300000     0.37842654     0.37505883
     0.62400000     0.37743725     0.37407847
     0.62500000     0.37644776     0.37309792
     0.62600000     0.37545808     0.37211717
     0.62700000     0.37446821     0.37113624
     0.62800000     0.37347815     0.37015511
     0.62900000     0.37248790     0.36917380
     0.63000000     0.37149747     0.36819230
     0.63100000     0.37050686     0.36721061
     0.63200000     0.36951606     0.36622875
     0.63300000     0.36852508     0.36524670
     0.63400000     0.36753392     0.36426448
     0.63500000     0.36654259     0.36328208
     0.63600000     0.36555108     0.36229951
     0.63700000     0.36455940     0.36131676
     0.63800000     0.36356755     0.36033384
     0.63900000     0.36257553     0.35935075
     0.64000000     0.36158334     0.35836750
     0.64100000     0.36059099     0.35738408
     0.64200000     0.35959847     0.35640049
     0.64300000     0.35860579     0.35541674
     0.64400000     0.35761294     0.35443283
     0.64500000     0.35661994     0.35344876
     0.64600000     0.35562678     0.35246453
     0.64700000     0.35463346     0.35148015
     0.64800000     0.35363999     0.35049561
     0.64900000     0.35264636     0.34951092
     0.65000000     0.35165258     0.34852607
     0.65100000     0.35065866     0.34754108
     0.65200000     0.34966458     0.34655593
     0.65300000     0.34867036     0.34557064
     0.65400000     0.34767599     0.34458520
     0.65500000     0.34668147     0.34359962
     0.65600000     0.34568681     0.34261390
     0.65700000     0.34469201     0.34162803
     0.65800000     0.34369707     0.34064202
     0.65900000     0.34270200     0.33965588
     0.66000000     0.34170678     0.33866960
     0.66100000     0.34071143     0.33768318
     0.66200000     0.33971594     0.33669662
     0.66300000     0.33872032     0.33570994
     0.66400000     0.33772457     0.33472312
     0.66500000     0.33672869     0.33373617
     0.66600000     0.33573268     0.33274909
     0.66700000     0.33473654     0.33176188
     0.66800000     0.33374027     0.33077455
     0.66900000     0.33274388     0.32978709
     0.67000000     0.33174736     0.32879951
     0.67100000     0.33075072     0.32781180
     0.67200000     0.32975396     0.32682397
     0.67300000     0.32875708     0.32583602
     0.67400000     0.32776008     0.32484795
     0.67500000     0.32676296     0.32385977
     0.67600000     0.32576572     0.32287146
     0.67700000     0.32476837     0.32188304
     0.67800000     0.32377090     0.32089451
     0.67900000     0.32277332     0.31990586
     0.68000000     0.32177562     0.31891710
     0.68100000     0.32077782     0.31792822
     0.68200000     0.31977990     0.31693924
     0.68300000     0.31878188     0.31595015
     0.68400000     0.31778374     0.31496095
     0.68500000     0.31678550     0.31397164
     0.68600000     0.31578716     0.31298223
     0.68700000     0.31478871     0.31199271
     0.68800000     0.31379015     0.31100309
     0.68900000     0.31279150     0.31001337
     0.69000000     0.31179274     0.30902354
     0.69100000     0.31079388     0.30803361
     0.69200000     0.30979492     0.30704359
     0.69300000     0.30879586     0.30605346
     0.69400000     0.30779670     0.30506324
     0.69500000     0.30679745     0.30407292
     0.69600000     0.30579810     0.30308250
     0.69700000     0.30479866     0.30209199
     0.69800000     0.30379912     0.30110139
     0.69900000     0.30279949     0.30011069
     0.70000000     0.30179976     0.29911990
     0.70100000     0.30079995     0.29812902
     0.70200000     0.29980005     0.29713805
     0.70300000     0.29880005     0.29614698
     0.70400000     0.29779997     0.29515583
     0.70500000     0.29679980     0.29416460
     0.70600000     0.29579954     0.29317327
     0.70700000     0.29479920     0.29218186
     0.70800000     0.29379877     0.29119037
     0.70900000     0.29279826     0.29019879
     0.71000000     0.29179767     0.28920713
     0.71100000     0.29079699     0.28821538
     0.71200000     0.28979623     0.28722356
     0.71300000     0.28879539     0.28623165
     0.71400000     0.28779447     0.28523966
     0.71500000     0.28679347     0.28424760
     0.71600000     0.28579239     0.28325545
     0.71700000     0.28479124     0.28226323
     0.71800000     0.28379000     0.28127093
     0.71900000     0.28278869     0.28027855
     0.72000000     0.28178731     0.27928610
     0.72100000     0.28078585     0.27829358
     0.72200000     0.27978432     0.27730098
     0.72300000     0.27878271     0.27630830
     0.72400000     0.27778103     0.27531556
     0.72500000     0.27677928     0.27432274
     0.72600000     0.27577746     0.27332985
     0.72700000     0.27477557     0.27233689
     0.72800000     0.27377361     0.27134387
     0.72900000     0.27277158     0.27035077
     0.73000000     0.27176948     0.26935760
     0.73100000     0.27076732     0.26836437
     0.73200000     0.26976508     0.26737107
     0.73300000     0.26876278     0.26637770
     0.73400000     0.26776042     0.26538427
